game_id,play_id,absolute_yardline_number,player_name,player_height,player_position,lurker_x,lurker_y,lurker_s,lurker_a,lurker_dir,lurker_o,ball_land_x,ball_land_y,distance_to_target,distance_to_ball,depth_difference,disruption,pd,int,time_to_throw,receiver_x,receiver_y,receiver_s,receiver_a,receiver_dir,receiver_o,target_distance_to_ball,qb_x,qb_y,qb_s,qb_a,qb_dir,qb_o,quarter,game_clock,down,yards_to_go,week,defensive_point_diff,pass_result,pass_length,play_action,dropback_type,dropback_distance,team_coverage_type,defenders_in_the_box,route_of_targeted_receiver,qb_hit,outcome
2023090700,101,42,L'Jarius Sneed,6-1,DB,48.01,12.44,2.93,4.75,192.18,309.47,63.2599983215332,-0.219999998807907,4.735652014242603,19.820142501419657,4.420000000000002,0,,,2.6,52.43,14.14,7.9,2.68,99.25,106.8,17.986063038090773,35.41,29.99,0.64,0.47,108.83,212.25,1,14:25,3,3,1,0,I,22,False,TRADITIONAL,2.13000011444092,COVER_2_ZONE,6,CORNER,0.0,Incomplete
2023090700,461,44,L'Jarius Sneed,6-1,DB,49.92,10.6,1.96,2.7,136.88,355.54,55.9099998474121,18.8299999237061,3.8774218238411975,10.179046955201622,1.8999999999999986,0,,,2.3,51.82,13.98,6.17,5.98,80.2,46.27,6.344335899980407,37.66,28.94,0.27,2.38,226.07,136.75,1,07:30,1,10,1,0,C,13,True,TRADITIONAL,4.71999979019165,COVER_6_ZONE,7,POST,0.0,Complete
2023090700,877,71,Jack Campbell,6-5,LB,77.98,15.79,4.77,4.1,175.81,257.37,83.0599975585938,17.7099990844727,8.345597641870835,5.43072478401318,8.310000000000002,0,,,3.4,86.29,15.02,2.47,7.61,42.04,333.76,4.203452253321545,61.64,23.93,1.82,1.76,117.99,124.44,2,14:25,2,5,1,7,C,13,True,TRADITIONAL,8.53999996185303,COVER_3_ZONE,7,HITCH,0.0,Complete
2023090700,1069,85,Leo Chenal,6-2,LB,37.18000000000001,16.68,4.34,2.57,187.91,245.93,37.639999389648395,24.269999313354496,6.076224156497184,7.603925894904462,2.309999999999988,0,,,3.1,39.489999999999995,22.299999999999997,4.87,1.79,8.779999999999973,307.82,2.7024802594872903,28.180000000000007,23.72,0.49,1.17,309.66999999999996,100.05000000000001,2,11:50,1,10,1,0,C,5,False,TRADITIONAL,4.8899998664856,COVER_3_ZONE,7,IN,0.0,Complete
2023090700,1563,28,Alex Anzalone,6-3,LB,32.11,9.17,1.91,2.41,110.35,327.18,35.9700012207031,12.3100004196167,8.801550999681815,4.9758629461654635,3.1199999999999974,0,,,4.5,35.23,17.4,8.01,1.14,163.44,194.26,5.143510234746718,24.53,18.01,6.13,3.64,123.17,114.0,2,02:02,1,10,1,0,C,10,False,SCRAMBLE,2.71000003814697,COVER_3_ZONE,6,HITCH,0.0,Complete
2023090700,1563,28,Jack Campbell,6-5,LB,34.66,20.31,6.91,2.17,165.88,193.79,35.9700012207031,12.3100004196167,2.9652993103563765,8.106546520212943,0.5700000000000003,0,,,4.5,35.23,17.4,8.01,1.14,163.44,194.26,5.143510234746718,24.53,18.01,6.13,3.64,123.17,114.0,2,02:02,1,10,1,0,C,10,False,SCRAMBLE,2.71000003814697,COVER_3_ZONE,6,HITCH,0.0,Complete
2023090700,1711,80,Brian Branch,6-0,DB,90.48,36.29,4.98,1.55,130.98,210.55,100.569999694824,50.0,6.20133050240027,17.022696432749672,0.8699999999999903,0,,,2.6,91.35,42.43,7.94,2.78,76.77,43.59,11.92951358491011,70.13,27.91,1.71,2.57,322.83,83.43,2,00:45,1,10,1,0,C,23,False,TRADITIONAL,5.3600001335144,COVER_2_ZONE,5,CORNER,0.0,Complete
2023090700,1711,80,Jerry Jacobs,5-11,DB,87.72,42.65,4.01,3.18,74.76,182.62,100.569999694824,50.0,3.636660556059634,14.803546607383552,3.6299999999999955,0,,,2.6,91.35,42.43,7.94,2.78,76.77,43.59,11.92951358491011,70.13,27.91,1.71,2.57,322.83,83.43,2,00:45,1,10,1,0,C,23,False,TRADITIONAL,5.3600001335144,COVER_2_ZONE,5,CORNER,0.0,Complete
2023090700,1940,68,L'Jarius Sneed,6-1,DB,58.95,11.93,2.77,0.68,204.07999999999998,320.58000000000004,67.0200004577637,4.799999999999997,6.813295825076144,10.76855642081641,6.170000000000002,0,,,3.9,65.12,14.82,7.25,4.26,140.95,211.05,10.198549001671871,43.31999999999999,25.699999999999996,1.94,0.69,97.05000000000001,135.70999999999998,2,00:09,2,10,1,7,I,18,False,TRADITIONAL,4.44000005722046,COVER_2_ZONE,6,OUT,0.0,Incomplete
2023090700,2118,47,Alex Anzalone,6-3,LB,49.66,37.34,4.99,1.42,353.83,316.54,55.5,34.5299987792969,5.229321179656114,6.480872384205151,5.030000000000001,0,,,2.6,54.69,38.77,3.74,6.03,128.87,167.17,4.3166781616844885,38.99,30.53,1.03,1.05,81.11,86.95,3,13:42,2,10,1,-7,I,9,False,TRADITIONAL,3.48000001907349,COVER_4_ZONE,6,IN,0.0,Incomplete
